bid,mutK,final_chg_state,sc_cnt,rc_cnt,nc_cnt
4,src.com.google.javascript.rhino.jstype.NamedType-1,nc,0,0,4
4,src.com.google.javascript.rhino.jstype.NamedType-7,nc,0,0,4
7,src.com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter-0,nc,0,0,3
7,src.com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter-4,nc,0,0,3
8,src.com.google.javascript.jscomp.CollapseVariableDeclarations-0,nc,0,0,1
8,src.com.google.javascript.jscomp.CollapseVariableDeclarations-6,nc,0,0,1
8,src.com.google.javascript.jscomp.CollapseVariableDeclarations-7,nc,0,0,1
8,src.com.google.javascript.jscomp.CollapseVariableDeclarations-21,nc,0,0,1
8,src.com.google.javascript.jscomp.CollapseVariableDeclarations-22,nc,0,0,1
10,src.com.google.javascript.jscomp.NodeUtil-0,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-13,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-24,nc,0,0,9
10,src.com.google.javascript.jscomp.NodeUtil-36,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-41,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-117,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-118,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-166,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-202,nc,0,0,50
10,src.com.google.javascript.jscomp.NodeUtil-203,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-204,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-219,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-220,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-223,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-227,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-253,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-256,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-258,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-259,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-317,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-320,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-321,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-369,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-374,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-402,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-433,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-434,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-474,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-503,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-504,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-569,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-573,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-629,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-650,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-665,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-667,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-670,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-685,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-700,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-704,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-724,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-725,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-726,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-727,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-728,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-770,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-774,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-775,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-776,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-797,nc,0,0,25
10,src.com.google.javascript.jscomp.NodeUtil-806,nc,0,0,25
12,src.com.google.javascript.jscomp.MaybeReachingVariableUse-0,nc,0,0,0
12,src.com.google.javascript.jscomp.MaybeReachingVariableUse-8,nc,0,0,0
12,src.com.google.javascript.jscomp.MaybeReachingVariableUse-9,nc,0,0,0
12,src.com.google.javascript.jscomp.MaybeReachingVariableUse-10,nc,0,0,0
12,src.com.google.javascript.jscomp.MaybeReachingVariableUse-11,nc,0,0,0
12,src.com.google.javascript.jscomp.MaybeReachingVariableUse-12,nc,0,0,0
