bid,mutK,status,mutOp,lno,debt_time,debt_nc
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-22,non-latent,CONDITIONALS_BOUNDARY,313,45.53756944444444,35.0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-125,non-latent,MATH,828,45.53756944444444,35.0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-71,non-latent,CONDITIONALS_BOUNDARY,133,45.53756944444444,35.0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-25,non-latent,CONDITIONALS_BOUNDARY,331,45.53756944444444,35.0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-128,non-latent,PRIMITIVE_RETURNS,828,45.53756944444444,35.0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-0,non-latent,CONDITIONALS_BOUNDARY,198,45.53756944444444,35.0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-18,non-latent,CONDITIONALS_BOUNDARY,281,45.53756944444444,35.0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-19,non-latent,CONDITIONALS_BOUNDARY,303,45.53756944444444,35.0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-171,non-latent,CONDITIONALS_BOUNDARY,998,45.53756944444444,35.0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-72,non-latent,CONDITIONALS_BOUNDARY,139,45.53756944444444,35.0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-164,non-latent,CONDITIONALS_BOUNDARY,979,45.53756944444444,35.0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-21,non-latent,CONDITIONALS_BOUNDARY,306,45.53756944444444,35.0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-127,non-latent,MATH,828,45.53756944444444,35.0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-162,non-latent,CONDITIONALS_BOUNDARY,962,45.53756944444444,35.0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-87,non-latent,CONDITIONALS_BOUNDARY,453,45.53756944444444,35.0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-89,non-latent,VOID_METHOD_CALLS,469,45.53756944444444,35.0
1,src.main.java.org.apache.commons.math3.fraction.BigFraction-20,non-latent,CONDITIONALS_BOUNDARY,303,45.53756944444444,35.0
2,src.main.java.org.apache.commons.math3.distribution.HypergeometricDistribution-0,non-latent,CONDITIONALS_BOUNDARY,94,67.31898148148149,71.0
3,src.main.java.org.apache.commons.math3.util.MathArrays-191,non-latent,MATH,1155,95.88050925925926,124.0
3,src.main.java.org.apache.commons.math3.util.MathArrays-50,non-latent,MATH,284,95.88050925925926,124.0
3,src.main.java.org.apache.commons.math3.util.MathArrays-172,non-latent,MATH,1108,95.88050925925926,124.0
3,src.main.java.org.apache.commons.math3.util.MathArrays-168,non-latent,MATH,1098,95.88050925925926,124.0
3,src.main.java.org.apache.commons.math3.util.MathArrays-173,non-latent,MATH,1110,95.88050925925926,124.0
3,src.main.java.org.apache.commons.math3.util.MathArrays-133,non-latent,MATH,1045,95.88050925925926,124.0
3,src.main.java.org.apache.commons.math3.util.MathArrays-171,non-latent,MATH,1107,95.88050925925926,124.0
3,src.main.java.org.apache.commons.math3.util.MathArrays-178,non-latent,MATH,1127,95.88050925925926,124.0
3,src.main.java.org.apache.commons.math3.util.MathArrays-180,non-latent,MATH,1131,95.88050925925926,124.0
3,src.main.java.org.apache.commons.math3.util.MathArrays-186,non-latent,MATH,1144,95.88050925925926,124.0
3,src.main.java.org.apache.commons.math3.util.MathArrays-190,non-latent,MATH,1154,95.88050925925926,124.0
3,src.main.java.org.apache.commons.math3.util.MathArrays-185,non-latent,MATH,1143,95.88050925925926,124.0
3,src.main.java.org.apache.commons.math3.util.MathArrays-187,non-latent,MATH,1145,95.88050925925926,124.0
3,src.main.java.org.apache.commons.math3.util.MathArrays-189,non-latent,MATH,1149,95.88050925925926,124.0
3,src.main.java.org.apache.commons.math3.util.MathArrays-176,non-latent,MATH,1119,95.88050925925926,124.0
3,src.main.java.org.apache.commons.math3.util.MathArrays-0,non-latent,CONDITIONALS_BOUNDARY,1358,95.88050925925926,124.0
3,src.main.java.org.apache.commons.math3.util.MathArrays-39,non-latent,MATH,222,95.88050925925926,124.0
3,src.main.java.org.apache.commons.math3.util.MathArrays-166,non-latent,MATH,1095,95.88050925925926,124.0
3,src.main.java.org.apache.commons.math3.util.MathArrays-188,non-latent,MATH,1148,95.88050925925926,124.0
3,src.main.java.org.apache.commons.math3.util.MathArrays-105,non-latent,MATH,939,95.88050925925926,124.0
3,src.main.java.org.apache.commons.math3.util.MathArrays-199,non-latent,MATH,1164,95.88050925925926,124.0
3,src.main.java.org.apache.commons.math3.util.MathArrays-182,latent,MATH,1134,27.492905092592597,48.0
3,src.main.java.org.apache.commons.math3.util.MathArrays-106,discard,MATH,943,27.492905092592597,48.0
4,src.main.java.org.apache.commons.math3.geometry.euclidean.twod.SubLine-12,non-latent,CONDITIONALS_BOUNDARY,192,135.05703703703705,164.0
4,src.main.java.org.apache.commons.math3.geometry.euclidean.twod.SubLine-11,non-latent,CONDITIONALS_BOUNDARY,186,135.05703703703705,164.0
4,src.main.java.org.apache.commons.math3.geometry.euclidean.twod.SubLine-3,non-latent,CONDITIONALS_BOUNDARY,169,135.05703703703705,164.0
4,src.main.java.org.apache.commons.math3.geometry.euclidean.twod.SubLine-1,non-latent,CONDITIONALS_BOUNDARY,165,135.05703703703705,164.0
4,src.main.java.org.apache.commons.math3.geometry.euclidean.twod.SubLine-2,non-latent,CONDITIONALS_BOUNDARY,165,135.05703703703705,164.0
5,src.main.java.org.apache.commons.math3.complex.Complex-203,non-latent,CONDITIONALS_BOUNDARY,1070,207.57025462962963,268.0
5,src.main.java.org.apache.commons.math3.complex.Complex-124,non-latent,VOID_METHOD_CALLS,438,207.57025462962963,268.0
5,src.main.java.org.apache.commons.math3.complex.Complex-186,non-latent,VOID_METHOD_CALLS,528,207.57025462962963,268.0
5,src.main.java.org.apache.commons.math3.complex.Complex-204,non-latent,CONDITIONALS_BOUNDARY,1073,207.57025462962963,268.0
5,src.main.java.org.apache.commons.math3.complex.Complex-84,non-latent,PRIMITIVE_RETURNS,364,207.57025462962963,268.0
5,src.main.java.org.apache.commons.math3.complex.Complex-31,non-latent,VOID_METHOD_CALLS,157,207.57025462962963,268.0
5,src.main.java.org.apache.commons.math3.complex.Complex-144,non-latent,INVERT_NEGS,319,207.57025462962963,268.0
